Position,Track Name,Artist,Streams,URL
124,In the morning,ITZY,897378,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
125,Prisoner (feat. Dua Lipa),Miley Cyrus,897082,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
128,GIRL LIKE ME,Black Eyed Peas,886819,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
131,death bed (coffee for your head),Powfu,878188,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
132,Slumber Party (feat. Princess Nokia),Ashnikko,874802,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
133,Batom de Cereja - Ao Vivo,Israel & Rodolffo,874126,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
135,Breaking Me,Topic,867035,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
137,Solid (feat. Drake),Young Stoner Life,855283,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
138,Bohemian Rhapsody - Remastered 2011,Queen,852926,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
140,Dreams - 2004 Remaster,Fleetwood Mac,846839,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
142,The Nights,Avicii,845739,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
143,You,Regard,845715,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
145,Little Bit of Love,Tom Grennan,831492,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
